gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000139890.9	REM2	0.030015571	2	1	0.021181523	mashr_Brain_Putamen_basal_ganglia	0.106519807	mashr_Brain_Cortex	1.630781592	0.369218408	1.630781592	-2.304733159	-1.61403513	-1.959384145	0.488397261	1	0
ENSG00000112214.10	FHL5	0.030092807	3	1	0.023981482	mashr_Brain_Anterior_cingulate_cortex_BA24	0.057796027	mashr_Brain_Putamen_basal_ganglia	2.900296936	0.004476528	2.900296936	-2.257425785	-1.897241842	-2.130763773	0.202478146	1	0
ENSG00000095596.11	CYP26A1	0.030273174	3	1	0.030537834	mashr_Brain_Amygdala	0.034655624	mashr_Brain_Substantia_nigra	2.896382196	2.09E-18	2.896382196	2.112359524	2.163043499	2.129254182	0.029262407	1	0
ENSG00000148411.7	NACC2	0.030386542	9	1	0.023243628	mashr_Pituitary	0.708529475	mashr_Brain_Hippocampus	6.62527766	6.44E-19	6.62527766	-2.269406319	2.269406319	-0.86114148	1.776647688	1	0
ENSG00000039139.9	DNAH5	0.030440526	7	1	0.005817492	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.747885637	mashr_Brain_Hippocampus	3.605156487	0.028158464	3.605156487	-1.026981748	2.757894754	0.968206888	1.548528022	1	0
ENSG00000089250.18	NOS1	0.030462876	7	1	0.013372789	mashr_Brain_Caudate_basal_ganglia	0.852229493	mashr_Brain_Nucleus_accumbens_basal_ganglia	5.732061021	1.59E-16	5.732061021	0.186274514	2.473684088	1.839071338	0.773350115	1	0
ENSG00000103199.13	ZNF500	0.030471724	11	1	0.012427836	mashr_Brain_Hypothalamus	0.740655133	mashr_Brain_Amygdala	8.836766912	4.48E-17	8.836766912	-2.499757445	0.330985904	-1.828682729	0.827232987	1	0
ENSG00000159842.14	ABR	0.030496949	6	1	0.017267945	mashr_Brain_Hippocampus	0.508601449	mashr_Brain_Anterior_cingulate_cortex_BA24	4.020469141	1.75E-18	4.020469141	-2.380952358	1.232394338	-1.347572823	1.404120563	1	0
ENSG00000277969.1	CTB-58E17.1	0.030508248	5	1	0.018349431	mashr_Spleen	0.167147422	mashr_Brain_Hippocampus	3.848868208	8.54E-17	3.848868208	-2.358490467	2.122641563	1.078172431	1.947778419	1	0
ENSG00000176994.10	SMCR8	0.030525818	8	1	0.012823409	mashr_Spleen	0.583728535	mashr_Brain_Substantia_nigra	4.189819552	1.15E-17	4.189819552	-0.95348835	2.488636255	0.95167694	1.535921198	1	0
ENSG00000099810.18	MTAP	0.030533847	10	1	0.024707471	mashr_Brain_Caudate_basal_ganglia	0.649132021	mashr_Spleen	5.77638812	1.96E-17	5.77638812	-2.24594593	0.776978433	-1.389397105	1.051878015	1	0
ENSG00000136026.13	CKAP4	0.03055243	6	1	0.018625575	mashr_Brain_Amygdala	0.664388331	mashr_Brain_Cortex	4.748132419	2.36E-17	4.748132419	-2.352941275	-0.433862448	-1.829253197	0.750940476	1	0
ENSG00000144591.18	GMPPA	0.03061824	11	1	0.011784971	mashr_Brain_Anterior_cingulate_cortex_BA24	0.953867123	mashr_Brain_Amygdala	5.851188768	2.89E-17	5.851188768	-1.515515586	2.518518448	0.327202902	1.799146102	1	0
ENSG00000115295.19	CLIP4	0.030625432	11	1	0.000126419	mashr_Spleen	0.705389438	mashr_Brain_Cortex	5.378668882	1.23E-18	5.378668882	-3.833333254	2.038461447	-1.244892932	1.542706455	1	0
ENSG00000140694.16	PARN	0.030722933	11	1	0.028292398	mashr_Brain_Putamen_basal_ganglia	0.199663811	mashr_Spleen	6.77191965	9.07E-18	6.77191965	-2.193207983	-1.282509967	-1.782541538	0.330555765	1	0
ENSG00000253214.1	RP11-1149M10.2	0.030805904	10	1	0.02278284	mashr_Spleen	0.909011306	mashr_Brain_Anterior_cingulate_cortex_BA24	7.772062566	5.99E-18	7.772062566	-2.277056705	0.114285715	-1.711210545	0.96556049	1	0
ENSG00000106537.7	TSPAN13	0.030833201	6	1	0.007459002	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.631429901	mashr_Brain_Cortex	2.995144888	1.42E-16	2.995144888	-2.675625134	-0.479715224	-1.48639766	0.939480904	1	0
ENSG00000254343.2	RP11-760H22.2	0.030863854	4	1	0.030410208	mashr_Brain_Hippocampus	0.031323298	mashr_Brain_Anterior_cingulate_cortex_BA24	4	1.25E-17	4	-2.164705992	2.164705992	-2.22E-16	2.492804038	1	0
ENSG00000008441.16	NFIX	0.030888326	10	1	0.030901927	mashr_Brain_Anterior_cingulate_cortex_BA24	0.032872646	mashr_Brain_Hypothalamus	9.975625908	1.47E-17	9.975625908	-2.158333302	2.158333302	1.724196841	1.364204118	1	0
ENSG00000164707.15	SLC13A4	0.030899389	10	1	0.03073127	mashr_Brain_Amygdala	0.1985428	mashr_Spleen	8.00061348	2.87E-21	8.00061348	1.285714269	2.160535097	2.020772337	0.30610494	1	0
ENSG00000198901.13	PRC1	0.030931966	11	1	0.002337067	mashr_Brain_Caudate_basal_ganglia	0.066753009	mashr_Brain_Cortex	6.116770296	9.29E-18	6.116770296	-3.043676032	1.833333373	-0.502962273	2.268816663	1	0
